មុជទឹក,"[muc tɨk] [[មុជ]] [[ទឹក]] <br>1). to dive in the water;<br> to take a shower or bath "
ខ្សែចន្ទោល,"[ksae cɑntool] [[ខ្សែ]] [[ចន្ទោល]] <br>1). cord attached at one end to the end of the cart shaft ( ចន្ទោល ) and at the other end to the cord which passes through the pierced septum of the draft animal's nose "
មុខបាទ,"[muk baat] [[មុខ]] [[បាទ]] <br>1). beginning and end
សំយោគវិធី,"[saŋyook viʔtʰii ] [[សំយោគ]] [[វិធី]] <br>1). synthesis;<br> method of forming consonant clusters "
ល្ហៅ,"[lhav] <br>1). adj to be slim
លុកសំឡាប់,"[luk ------] [[លុក]] [[សំឡាប់]] <br>1). to kill by surprise "
ទំនើរ,"<br>1). See: ទ្រនើរ "
លើកស្រូវទ្រនឹប,"[lǝǝ kɑɑ srǝv trɔnɨp] [[លើក]] [[ស្រូវ]] [[ទ្រនឹប]] <br>1). to hang up a basket of paddy rice (as a ritual offering) "
ឱបបាតិក,"<br>1). See: ឩបបាតិក "
គ្របដណ្ដប់,"[krɔɔp dɑndɑp] [[គ្រប]] [[ដណ្ដប់]] <br>1). to cover over;<br> to occupy
ជនានុគ្រោះ,"[ceaʔnienuʔkrʊəh] <br>1). n concern for others' welfare "
ខ្សែបន្លាយ,"[ksae bɑnlaay] [[ខ្សែ]] [[បន្លាយ]] <br>1). See: ខ្សែលាម "
រថពាហៈ,"[rʊət ------ ] [[រថ]] [[ពាហៈ]] <br>1). See: រថវាហៈ "
សេះអំពេះ,"[seh ʔɑmpeah] [[សេះ]] [[អំពេះ]] <br>1). horses of all sizes <br>2). miniature horse
ទំនើស,"[tumnəəh] <br>1). n objection
មានប្រសាសន៍ថា,"[mien prɑsaah tʰaa] [[មានប្រសាសន៍]] [[ថា]] <br>1). to speak / say "
អ្នកទន្លេ,"[neak tʊənlee] [[អ្នក]] [[ទន្លេ]] <br>1). river people "
ខាងក្រោមទឹក,"[kʰaaŋ kraom tɨk] [[ខាង]] [[ក្រោមទឹក]] <br>1). lower reaches (of a water course) "
ភូធន,"[pʰuutʰʊən] <br>1). n the one who owns the earth
កន្លេងកន្លាញ់,"[kɑnleɛŋ kɑnlaɲ] [[កន្លេង]] [[កន្លាញ់]] <br>1). to crave
អាចម៍រមាំង,"[ʔac rɔmeaŋ] [[អាចម៍]] [[រមាំង]] <br>1). kind of small
រុំប៉ង់ស៊ីម៉ង់,"[rum ------ ] [[រុំ]] [[ប៉ង់ស៊ីម៉ង់]] <br>1). to bandage "
នាវាដឹកទំនិញ,"[nievie dək tumnɨɲ] [[នាវា]] [[ដឹកទំនិញ]] <br>1). cargo ship
រគឹង,"[rɔkɨŋ] <br>1a). adj to be pimply
មីច្រមក់,"[mii crɑmɑk] [[មី]] [[ច្រមក់]] <br>1). little girl "
វិហារមហកម្ម,"[viʔhie meaʔhaʔkam] [[វិហារ]] [[មហកម្ម]] <br>1). inauguration ceremony for a temple "
សំងំចឺន,"[------ cəən] [[សំងំ]] [[ចឺន]] <br>1). to be very quiet "
ហត្ថមូល,"[hat muul] [[ហត្ថ]] [[មូល]] <br>1). See: ហត្ថកម្មមូល "
អង្ករខ្សាយ,"[ʔɑŋkɑɑ ksaay] [[អង្ករ]] [[ខ្សាយ]] <br>1). ordinary rice "
ភូធរ,"[pʰuutʰɔɔ] <br>1). n mountain <br>2). n supporter of the earth;<br> king "
ក្លនពោះវៀន,"[klɑɑn pʊəh viən] [[ក្លន]] [[ពោះវៀន]] <br>1). intestinal hernia "
ទូកចំឡង,"[tuuk cɑmlɑɑŋ] [[ទូក]] [[ចំឡង]] <br>1). See: ទូកដ "
ប្រជាន់,"[prɑcoan] <br>1a). adv closely following
ត្រប់ខារ,"[trɑp kʰaa] [[ត្រប់]] [[ខារ]] <br>1). kind of eggplant "
ស៊ុតស្ងោរ,"[sut sŋao] [[ស៊ុត]] [[ស្ងោរ]] <br>1). hard-boiled egg "
រហស្សមន្តី,"[reaʔhashaʔ~reaʔhah ------] [[រហស្ស]] [[Aមន្តី]] <br>1). person who does something in secret
គគ្រីមគគ្រើម,"[kɔkriim - kɔkrəəm] <br>1). adj to be rough
ពណ៌លឿងទុំ,"[poa lɨǝŋ tum] [[ពណ៌]] [[លឿងទុំ]] <br>1). orange "
យង់,"[yʊəŋ] <br>1). adj to be smooth
ផ្ទះបាយរួម,"[pteah baay ruəm] [[ផ្ទះបាយ]] [[រួម]] <br>1). communal kitchen (during KR era) "
មុខរឹងដូចដែក,"[muk rɨŋ dooc daek] [[មុខរឹង]] [[ដូច]] [[ដែក]] <br>1). to be very stubborn (esp. of children) "
ស្បូវរណ្ដាស,"[sbǝv rʊəndaah] [[ស្បូវ]] [[រណ្ដាស]] <br>1). vetiver (kind of roof-thatching plant
ជំងឺខាន់ស្លាក់,"[------ kʰan slak] [[ជំងឺ]] [[ខាន់ស្លាក់]] <br>1). diphtheria "
ព្រះស្ដេច,"[preah sdac] [[ព្រះ]] [[ស្ដេច]] <br>1). title given to an official of the royal household who is in charge of religious affairs;<br> his full title is ឧកញ៉ាព្រះស្តេចសុរិន្ទ្រាធិបតី "
ប្រើអំណាច,"[praə ʔɑmnaac] [[ប្រើ]] [[អំណាច]] <br>1). to wield power "
ស៊ីដេកៗ,"<br>1). to loaf "
លើកកំបង់អញ្ជលីប្រណម្យ,"[lǝǝ kɑɑ kɑmbɑŋ ------ prɑnɑm] [[លើក]] [[កំបង់]] [[អញ្ជលី]] [[ប្រណម្យ]] <br>1). to greet by placing the hands together and raising them to one's face "
អាស៊ីទ,"[ʔaasiit] <br>1). n acid French "
ចាប់ចិត្តស្នេហា,"[cap cət snaehaa] [[ចាប់]] [[ចិត្តស្នេហា]] <br>1). to fall in love (with) "
ហិមគិរី,"[heʔmeaʔkiʔrii ] [[ហិមគិរី]] <br>1). The Himalayas;<br> snowy peak "
សមាគមកម្មករ,"[saʔmaakum kam~kammeaʔ or kammaʔ kɑɑ] [[សមាគម]] [[កម្មករ]] <br>1). labor union See: សហភាព កម្មករ "
កីឡាបាល់បោះ,"[kəylaa bal bɑh] [[កីឡា]] [[បាល់បោះ]] <br>1). basketball "
និយុវដ្ឋាន,"[niʔyuʔveaʔtʰaan] <br>1). n shelter;<br> orphanage "
ទំពុន,"[tumpun] <br>1). n people who are responsible for feeding the royal horses or elephants "
កាច់យកស្រុក,"[kac yɔɔ kɑɑ srok] [[កាច់]] [[យក]] [[ស្រុក]] <br>1). to subjugate a country "
ញ័រសាច់,"[ɲoa sac] [[ញ័រ]] [[សាច់]] <br>1). to be shaking with rage;<br> trembling from hunger "
អន្លៃ,"<br>1). See: អន្លក់អន្លៃ "
មែនទេ,"[mɛɛn tee] [[មែន]] [[ទេ]] <br>1). ? is it so? right? "
ឧបការគុណ,"[ʔuʔpaʔkaa kun] [[ឧបការ]] [[គុណ]] <br>1). merit attained through helping someone See: គុណូបការៈ "
គ្មានខាន,"[kmien kʰaan] [[គ្មាន]] [[ខាន]] <br>1). certainly
រាជជននី,"[riec ceaʔneaʔnii] [[រាជ]] [[ជននី]] <br>1). king's mother "
សេពសម,"[saep sɑɑ mɔɔ] [[សេព]] [[សម]] <br>1a). to get together;<br> to care for one another. <br>1b). to have an affair "
មសូររីក,"[meaʔsoo riik] [[មសូរ]] [[រីក]] <br>1). diverging lens "
បញ្ជក់,"[bɑɲcʊək] <br>1). v to suck in
សាលាវិចិត្រសិល្បៈ,"[saalaa ------ ] [[សាលា]] [[វិចិត្រសិល្បៈ]] <br>1). school of fine arts "
របឹង,"[rɔbəŋ] <br>1). adj to be stubborn
រំដេញមាស,"[rumdəɲ mieh] [[រំដេញ]] [[មាស]] <br>1). kind of shrub (Prismatomeris albidiflora;<br> the roots are used to prepare certain medicines) "
អត្តិខាត់,"<br>1). See: អត្តខាត់ "
អភិគោត្ត,"[ʔaʔpʰiʔ koottaʔ~koot] [[អភិ]] [[គោត្ត]] <br>1). noble family See: អភិគោត្រ "
ឡើងរេញ,"[laəŋ rɨɲ] [[ឡើង]] [[រេញ]] <br>1). to go into the (boxing) ring "
អក្សរគ,"[ʔaksɑɑ kɔɔ] [[អក្សរ]] [[គ]] <br>1). silent letter "
ហួតហែង,"[huǝt haeŋ] [[ហួត]] [[ហែង]] <br>1). to be very dry
ចំតិតចំតូង,"[cɑmtət cɑm tooŋ] [[ចំតិត]] [[ចំ]] [[តូង]] <br>1). to be bending over again and again "
ស្អូច,"[sʔooc] <br>1a). n Saoch (a Mon-Khmer-speaking ethnic group living in the Veal Renh area of Kampot Province). <br>1b). bumpkin <br>2). n kind of itchy skin disease "
លាងខ្មាស,"[lieŋ kmaah] [[លាង]] [[ខ្មាស]] <br>1). to clear one's conscience "
អបមាន,"[ʔɑɑp mien] [[អប]] [[មាន]] <br>1). to be isolated
អលង្ករណ៍,"[ʔaʔlaŋkɑɑ] <br>1). n decoration
វិនយបញ្ញត្តិ,"[viʔneaʔyeaʔ~viʔney baɲɲat] [[វិនយ]] [[បញ្ញត្តិ]] <br>1). restriction in the law "
ចតុ,"[cattoʔ] <br>1). n four "
ឡានសង្គ្រោះបន្ទាន់,"[laan sɑŋkrʊəh bɑntoan] [[ឡាន]] [[សង្គ្រោះ]] [[បន្ទាន់]] <br>1). ambulance "
ប្រត្យាស្ថាប័ន,"[prɑtyaastʰaaban] <br>1). n restoration
បណ្ឌិត្យ,"[bandɨt] <br>1). n institute
អបមារ,"[ʔɑɑp mie] [[អប]] [[មារ]] <br>1). epilepsy
ការរស់រាន,"[kaa rʊəh rien] [[ការ]] [[រស់រាន]] <br>1). survival;<br> outliving "
ស្នឹង,"[snəŋ] <br>1). n small post / stake used for tethering animals
សុន្ទរពេចន៍,"[sonteaʔreaʔ~sontɔɔ pɨc] [[សុន្ទរ]] [[ពេចន៍]] <br>1). See: សុន្ទរកថា "
ស៊ុមជ័យ,"[sum cey] [[ស៊ុម]] [[ជ័យ]] <br>1). triumphal arch "
អនាត្ម័ន,"<br>1). See: អនត្តា "
សំពាយសំពូ,"[sɑmpiey sɑmpuu] [[សំពាយ]] [[សំពូ]] <br>1). cluster of small and large bags mixed together with shoulder straps to be carried across the back "
របឹប,"[rɔbəp] <br>1a). n confiscation
យើងខ្ញុំទាំងពីរនាក់,"[yəəŋ kɲom teaŋ pii~pɨl neak] [[យើងខ្ញុំ]] [[ទាំងពីរ]] [[នាក់]] <br>1). the two of us "
រាជភក្តី,"[riec pʰeaʔkdəy] [[រាជ]] [[ភក្តី]] <br>1). loyalty to the king "
យ៉ាងខ្លាំងក្លា,"[yaaŋ klaŋ klaa] [[យ៉ាង]] [[ខ្លាំងក្លា]] <br>1). vigorously;<br> fiercely "
គេចមុខ,"[kɨc muk] [[គេច]] [[មុខ]] <br>1). to avoid meeting someone "
អង្សុមន្ត,"[ʔaŋsoʔ mʊən] [[អង្សុ]] [[មន្ត]] <br>1). See: អង្សុមាលី "
មានកល,"[mien kɑl] [[មាន]] [[កល]] <br>1). to be tricky <br>#..). tricky "
សហភាពសូវៀត,"[saʔhaʔ pʰiep sooviet] [[សហ]] [[ភាព]] [[សូវៀត]] <br>1). Soviet Union
ចិត្រកម្ម,"[------ kam~kammeaʔ or kammaʔ] [[ចិត្រ]] [[កម្ម]] <br>1). drawing
វាយកែង,"[viey~vay kaeŋ] [[វាយ]] [[កែង]] <br>1). to click the heels together "
សយនាសនៈ,"[saʔyaʔnaasaʔnaʔ] <br>1). n bed and seat (place to lie down and place to sit) See: សេនាសនៈ "
ថៅឡិង,"[tʰav ləŋ] <br>1). n kind of cloth money belt Chinese "
កងសោយ,"[kɑɑŋ saoy] <br>1). n kind of Cambodian wedding music "
ស្ងាច,"[sŋaac] <br>1). adj to be dazzling
គោលបំណង,"[kool bɑmnɑɑŋ] [[គោល]] [[បំណង]] <br>1). intention
ធ្វើខុសឆ្គង,"[tvəə kʰoh ckɔɔŋ] [[ធ្វើ]] [[ខុសឆ្គង]] <br>1). to misbehave
អ្នកមេគំនិត,"[neak mee kumnit] [[អ្នក]] [[មេ]] [[គំនិត]] <br>1). initiator "
អ្នកដេរសៀវភៅ,"[neak deɛ siǝv pʰɨv] [[អ្នក]] [[ដេរ]] [[សៀវភៅ]] <br>1). bookbinder "
កន្ត្រៃកាត់លួស,"[kɑntray kat luǝh] [[កន្ត្រៃ]] [[កាត់]] [[លួស]] <br>1). wire cutters "
ស្ទើរដៃ,"[stǝǝ day] [[ស្ទើរ]] [[ដៃ]] <br>1). to stop short of the right amount;<br> to stop short of hitting someone <br>2). to be too small to take into consideration
ដោយអនុលោមទៅតាម,"[daoy ʔaʔnuʔlaom tɨv~toh taam] [[ដោយ]] [[អនុលោមទៅតាម]] <br>1). to comply with "
ចន្ទន៍,"[can] <br>1). n sandalwood tree (Cirium myrtifolium) "
និយាយខ្ទប,"[niʔyiey ktɔɔp] [[និយាយ]] [[ខ្ទប]] <br>1). to agree with someone to make him / her feel good "
រោងចួង,"[rooŋ cuəŋ] [[រោង]] [[ចួង]] <br>1). bell tower "
បមាណីយ,"[paʔmaanəy] <br>1). n standard
ចិត្តអាណោច,"[cət ʔaanaoc] [[ចិត្ត]] [[អាណោច]] <br>1). compassion;<br> to be compassionate
ស្នឹម,"[snəm] <br>1a). n rust;<br> accumulation of dirt / grime. <br>1b). conflict See: ស្និម កើតស្នឹមក្នុងផ្ទះ There is conflict in the house. <br>2). v to stack straw around a wooden post "
រចាល,"[rɔcaal] <br>1). adj to be totally destroyed
នីត្យានុកូលភាព,"[niityaanuʔkool pʰiep] [[នីត្យានុកូល]] [[ភាព]] <br>1). legality
មនុស្សគ្រាក់,"[mɔnuh~meaʔnuh~mɔnɨh kreak] [[មនុស្ស]] [[គ្រាក់]] <br>1). adult male
សកទាគាមិ,"[saʔkaʔtiekiemiʔ] <br>1). n the way of once-returning (referring to a សកទាគាមី ) (Buddh.) "
សកទាគាមី,"[saʔkaʔtiemiekii] <br>1). n once-returner
ឥវ៉ាន់,"<br>1). See: អីវ៉ាន់ "
ព្រឹទ្ធិកម្ម,"[prɨttʰiʔ kam~kammeaʔ or kammaʔ] [[ព្រឹទ្ធិ]] [[កម្ម]] <br>1). exploitation;<br> usury
ស្លុតជំហរ,"[slot cumhɔɔ] [[ស្លុត]] [[ជំហរ]] <br>1). astasia (paralysis that causes a person to have difficulty in standing up or lose the ability to stand up) "
ទំលាក់បន្ទុកទទួលខុសត្រូវដល់,"[------ bɑntuk tɔtuəl kʰoh trəv dɑl] [[ទំលាក់]] [[បន្ទុក]] [[ទទួលខុសត្រូវ]] [[ដល់]] <br>1). to shift responsibility (onto someone) "
ជោកជាំ,"[cook coam] [[ជោក]] [[ជាំ]] <br>1). to be completely soaked "
ដាក់ផ្លែ,"[dak plae] [[ដាក់]] [[ផ្លែ]] <br>1a). to insert a blade. <br>1b). to insinuate
ស្ងាប,"[sŋaap] <br>1). v to yawn
ឆិទ្ទដ្ឋាន,"[cʰettoattʰaan] <br>1). n hole
ធ្វើវិនិយោគ,"[tvəə viʔniʔyook] [[ធ្វើ]] [[វិនិយោគ]] <br>1). to invest "
ចំអន់ប្រឡែង,"[cɑmʔɑn ------] [[ចំអន់]] [[ប្រឡែង]] <br>1). to tease
ក្រុមសង្គហព្រះរាជវង្សានុវង្ស,"[krom~krommaʔ- ------ ] [[ក្រុម]] [[សង្គហព្រះរាជវង្សានុវង្ស]] <br>1). Council of the Royal Family "
សកុណជាតិ,"[saʔkoʔnaʔciet] <br>1). n birds (in general) "
អាឯង,"[ʔaa ʔae ŋɔɔ] [[អា]] [[ឯង]] <br>1). you / your (intimate or condescending) "
អាចម៍ល័ក្ត,"[ʔac leak] [[អាចម៍]] [[ល័ក្ត]] <br>1). residue of gum-lac used as a glue;<br> (imprint of an official) seal See: អាចម៍ល័ខ See: កាកល័ក្ត "
ផ្លូវសួន,"[pləv suǝn] [[ផ្លូវ]] [[សួន]] <br>1). garden path;<br> parkway "
ពិនិត្យដោយសត្យានុម័តិ,"[piʔnit daoy sattyaa ------ ] [[ពិនិត្យ]] [[ដោយ]] [[សត្យានុម័តិ]] <br>1). to examine objectively "
ប៉ុណ្ណោះ,"[ponnɑh] <br>1). adv that much;<br> so
ខ្សាវៗ,"[ksaav - ksaav] <br>1). adv hoarsely
ខ្សែស្ទង់,"[ksae stɔǝŋ] [[ខ្សែ]] [[ស្ទង់]] <br>1). sounding lead
លោកស្រី,"[look~lookaʔ srǝy] [[លោក]] [[ស្រី]] <br>1). you / your (addressing a woman of high social status
ស្ងាវ,"[sŋaav] <br>1). adj to be dazzling / blinding white <br>2). n kind of tree resembling the poplar (Casuarina equisetifolia) See: ស្ងោ See: ដើមស្រល់កន្ទុយ សេះ "
ចាញ់បោក,"[caɲ baok] [[ចាញ់]] [[បោក]] <br>1). to be tricked
អច្ចេក,"[ʔacceekaʔ] <br>1). adj to be rushed;<br> immediate
ចង្កួយធ្នូ,"[cɑŋkuəy tnuu] [[ចង្កួយ]] [[ធ្នូ]] <br>1). the curved end of a bow "
ត្រចៀកវៃ,"[trɑciək vey] [[ត្រចៀក]] [[វៃ]] <br>1). sharp ear(s)<br>#..). to be alert;<br> to have good ears "
វេះខម,"[veh kʰɑɑm] [[វេះ]] [[ខម]] <br>1). to hide out and spy upon "
អាមេណ្ឌិតលេខ,"[ʔaameendiʔtaʔ~ʔaameendit leek] [[អាមេណ្ឌិត]] [[លេខ]] <br>1). doubling symbol ( ៗ ) "
ការកេត,"[kaa keet] <br>1). n kind of flowering tree See: កាកែល "
ចែកឋាន,"[caek tʰaan] [[ចែក]] [[ឋាន]] <br>1). to die "
ត្រូវវេន,"[trəv veen] [[ត្រូវ]] [[វេន]] <br>1). to be in turn "
សំកោក,"[sɑmkaok] <br>1). v to tense up one's muscles in order to allow them to resist a blow;<br> to strain <br>2). n kind of plant which
កំបុត,"[kɑmbot] <br>1a). adj to be broken
ញ៉ន,"[ɲɑɑn] <br>1). conj it's because of ... Surin "
នឹកស្រុក,"[nɨk srok] [[នឹក]] [[ស្រុក]] <br>1). to be homesick "
ការសំរុះសំរួល,"[kaa ------] [[ការ]] [[សំរុះសំរួល]] <br>1). reconciling (a conflict) "
ស្គរជ័យ,"[skɔɔ cey] [[ស្គរ]] [[ជ័យ]] <br>1). victory drum
ទាល់ប្រាក់ចាយ,"[toal prak caay] [[ទាល់]] [[ប្រាក់]] [[ចាយ]] <br>1). to lack sufficient money to spend "
ចាំជាប់,"[cam coap] [[ចាំ]] [[ជាប់]] <br>1). to memorize
នាសនា,"<br>1). See: នាសនង្គ "
