(Mekong) giant catfish 	 ປາບຶກ
parts of plants	(n) 	 ສ່ວນຕ່າງໆຂອງພືດ
pass	(n,v) 	 ຜ່ານ, ໃບອະນຸຍາດ, ທາງຜ່ານ
passport	(n) 	 ໜັງສືເດີນທາງ
pasteurization	(n) 	 ການຂ້າເຊື້ອໂລກດ້ວຍຄວາມຮ້ອນ
pastoral	(n,adj) 	 ທົ່ງຫຍ້າ, ສໍາລັບໃຫ້ສັດກີນຫຍ້າ
pastoralists	(n) 	 ຄົນລ້ຽງສັດ
pasture 	 ທົ່ງຫຍ້າ
pasture	(n) 	 ທົ່ງຫຍ້າ
patch	(small piece of land) 	 ຕອນ (ດິນຕອນໜື່ງ)
path	(n) 	 ທາງ, ທາງນ້ອຍ
patient	(n) 	 ຄົນເຈັບ
patient	(to be) (adj) 	 ອົດທົນ
paunch 	 ສ່ວນທ້ອງ
paw	(n) 	 ອົ້ງຕີນສັດ
pay	(v) 	 ຈ່າຍ, ຊໍາລະສະສາງ
payment 	 ການຈ່າຍ
pea	(n) 	 ຖົ່ວ
peace	(n) 	 ສະຫງົບ, ສັນຕິພາບ
peach 	 ໝາກຄາຍ
peanut 	 ຖົ່ວດິນ
peanut	(n) 	 ຖົ່ວດິນ
peanuts 	 ໝາກຖົ່ວດິນ
peasant	(n) 	 ຊາວຊົນນະບົດ, ຊາວນາ
peat	(n) 	 ດິນອົງຄະທາດ
peat	(organic) 	 ດິນອົງຄະທາດ
pebble	(n) 	 ຫີນ, ຫີນນ້ອຍ
pedestrian	(n) 	 ຄົນຍ່າງ
peel	(n,v) 	 ເປືອກ, ປອກເປືອກ
peg	(v,n) 	 ປັກ, ຕອກເຫຼັກໝຸດ, ເຂັມໝຸດ, ຂໍໜີບເຄື່ອງ
pelleted feed, concentrate 	 ຫົວອາຫານ
pelt	(skin of animal) 	 ໜັງສັດ
pen	(animal) 	 ຄອກສັດ, ເລົ້າ
pen, coop 	 ລົກ, ລົກໄກ່
pen, stable 	 ຄອກ
pengasus sutchi	(cat fish) 	 ປາສະຫວາຍ
peppers 	 ພິກໄທ
per capita	(adj) 	 ຕໍ່ຫົວ, ຕໍ່ຄົນ
per-diem	(n) 	 ເບ້ຍລ້ຽງ
perch-bass 	 ປາກະພົງ
percolate	(v) 	 ໄຫຼຊືມ
percolation 	 ການຊຶມຂອງນໍ້າ
perennial plants	(n) 	 ພືດລົ້ມລຸກ
perish	(n) 	 ຕົ້ນພືດທີ່ຫ່ຽວແຫ້ງ, ເນົ່າເປື່ອຍຕາຍ
permanent	(adj) 	 ຄົງທົນ, ຖາວອນ
permeate	(v) 	 ຊຶມ, ແຊກຊຶມ, ຮົ່ວ, ແຜ່ລາມ
permission	(n) 	 ການອະນຸຍາດ
persimmon 	 ໝາກເບັນ	(ເປັນໜ່ວຍສີແດງນ້ອຍ)
persuade	(v) 	 ຊັກຊວນ
pest 	 ສັດຕູພືດ
pest	(n) 	 ສັດຕູພືດ
pest controle 	 ການຄວບຄຸມສັດຕູພືດ
pesticide 	 ຢາກໍາຈັດສັດຕູພືດ
pestle & mortar 	 ສາກ ແລະ ຄົກ
petal	(n) 	 ກີບດອກໄມ້
petiole	(n) 	 ກ້ານ
petrol	(n) 	 ນໍ້າມັນແອັດຊັງ
phenomenon	(n) 	 ປະກົດການ
phosphate 	 ທາດຟົດສະຟໍ
phosphorus	(n) 	 ທາດຟົດສະຟໍຣັດ
phosphorus deficiency 	 ການຂາດທາດຟົດສະຟໍ
photosynthesis	(n) 	 ການສັງເຄາະແສງ
physical appearance	(n) 	 ລັກສະນະພາຍນອກ, ລັກສະນະຟິຊິກ
phytoplankton 	 ສີໃຄນໍ້າ
pick	(v) 	 ເກັບ (ເກັບຜົນລະປູກ)
picker corn	(n) 	 ເຄື່ອງເກັບສາລີ
picker cotton	(n) 	 ເຄື່ອງເກັບຝ້າຍ
pickle	(n, v) 	 ເຄື່ອງດອງ, ດອງ
pigeon pea 	 ໝາກແປບ, ຖົ່ວແຮ
pigsty	(n) 	 ຄອກໝູ
pile	(stake to support building) 	 ເສົາເຂັມ
pillar	(n) 	 ເສົາ
pilot farmer 	 ຊາວກະສິກອນຕົວຢ່າງ
pine cone 	 ດອກຕົ້ນແປກ
pineapple 	 ໝາກນັດ
pink eye 	 ໂລກຕາ	(ງົວຄວາຍ)
pipes	(n) 	 ທໍ່, ທໍ່ນໍ້າ
pistil	(n) 	 ເກສອນແມ່
pistil	(n) 	 ເກສອນແມ່
pithecellotrium dolec 	 ໝາກຂາມເທດ
pituitary gland	(n) 	 ຕ່ອມໃຕ້ສະໝອງ
place	(n) 	 ບ່ອນ, ສະຖານທີ່
placenta	(n) 	 ນ້ອງສັດ (ຫຼັງຈາກສັດເກີດລູກໃໝ່)
plain	(n) 	 ທົ່ງ, ທົ່ງພຽງ
plan	(v) 	 ວາງແຜນ
plane 	 ກົບ	(ໃຊ້ກົບໄມ້)
plane	(n) 	 ກົບ (ກົບໄມ້)
plankton 	 ໄຮນໍ້າ
plant	(seed in hills) (v.) 	 ຢອດ, (ຢອດແກ່ນ, ຢອດເມັດ)
plant	(v.) 	 ປູກ
plant breeding	(n) 	 ການປະສົມພັນພືດ
plant disease 	 ພະຍາດພືດ
plant seed	(v.) 	 ບົງ, ກ້າແກ່ນ
plant succession	(n) 	 ລະບົບການສືບແທນຂອງພືດ
plantation	(n) 	 ສວນ, ໄຮ່
planting 	 ການປູກ
planting interval	(n) 	 ໄລຍະຫ່າງລະຫວ່າງແຖວປູກ
planting space	(n) 	 ໄລຍະຫ່າງລະຫວ່າງແຖວ
plants	(n) 	 ພືດ
plants	(n) 	 ພືດ
plateau 	 ທີ່ຮາບສູງ, ດິນທີ່ຮາບສູງ
plateau	(n) 	 ພູພຽງ
pledging of crop	(n) 	 ການມັດຈໍາພືດ (ການຊື້ຂາຍເຂົ້າຂຽວ)
plot	(n) 	 ຕອນ, ຜືນ (ນາ, ດິນ) ແປງທົດລອງ
plough	(n, v) or plow (v) 	 ໄຖ, ໄຖນາ 
plough	(v), plough (n) 	 ໄຖ, ເຄື່ອງໄຖ
plough a furrow 	 ລວງຮ່ອງ, ແປງຮ່ອງ
plough in 	 ໄຖຄົ້ນ
pluck	(v) 	 ດຶງ, ຖອນ
plug 	 ເຄື່ອງອັດ	(ດອນອັດ)
plug	(v, n) 	 ອັດ, ກັ້ນ, ເຄື່ອງອຸດ, ເຄື່ອງກັ້ນ
plywood	(n) 	 ໄມ້ອັດ
poaching	(n) 	 ລ່ວງລະເມີດ
pod	(n, v) 	 ຝັກ (ຖົ່ວ), ແຕກຝັກ
poison	(n) 	 ເປັນພິດ, ຢາພິດ
poison	(n, v) 	 ຢາພິດ, ເປັນພິດ
poison sac 	 ຖົງນໍ້າພິດ
poisonous	(adj) 	 ເປັນພິດ
police station	(n) 	 ປ້ອມຕໍາຫຼວດ, ສະຖານີຕໍາຫຼວດ
polished rice	(n) 	 ເຂົ້າສານ
polite	(adj) 	 ສຸພາບ
pollarding	(n) 	 ການຕັດຮອນເພື່ອໃຫ້ອອກຟຸ່ມ
pollen	(n) 	 ເກສອນ
pollen	(n) 	 ເກສອນດອກໄມ້, ການປະສົມເກສອນດອກໄມ້
pollen bastket 	 ກະຕ່າເກັບເກສອນທີ່ຂາຫຼັງ
pollen grains	(n) 	 ລະອອງເກສອນ
pollinate	(n) 	 ປະສົມເກສອນດອກໄມ້
pollution	(n) 	 ມົນລະພາວະ, ມົນລະພິດ
pomegranate 	 ໝາກພິລາ
pomelo, shaddock 	 ໝາກພຸກ, ໝາກສົ້ມໂອ
pond 	 ສະນໍ້າ
pond	(n) 	 ບຶງ, ໜອງ
pond bank 	 ຄູສະປາ
pool	(n) 	 ອ່າງນໍ້າ
poor	(adj) 	 ທຸກ, ທຸກຍາກ, ບໍ່ສົມບູນ
population	(n) 	 ພົນລະເມືອງ, ປະຊາຊົນ, ປະຊາກອນ
population dynamics	(n) 	 ການເໜັງຕີງຂອງປະຊາກອນ
possess	(v) 	 ເປັນເຈົ້າຂອງ
possession	(n) 	 ຄວາມເປັນເຈົ້າຂອງ, ເຄື່ອງຂອງຂອງຕົນ
post	(n) 	 ເສົາ, ຕໍາແໜ່ງ
post office	(n) 	 ຫ້ອງການໄປສະນີ
post-harvest 	 ພາຍຫຼັງການເກັບກ່ຽວ
pot	(n) 	 ໝໍ້
potassium 	 ທາດໂປແຕສຊຽມ
potassium	(n) 	 ທາດໂປແຕສຊຽມ
potassium deficiency 	 ການຂາດທາດໂປແຕສຊຽມ
potato 	 ມັນຝຣັ່ງ
potato 	 ມັນຝຣ່ັງ
potato	(lrish potato) 	 ມັນຝະລັ່ງ
pothole	(n) 	 ຂຸມ, ຫຼຸມ
poultry	(n) 	 ສັດປີກ
pound	(v) 	 ຕໍາ, ຕໍາໃຫ້ມຸ່ນ
pour	(v) 	 ຖອກ, ເທ
pour over	(v) 	 ລາດ, ເທ
powder	(n) 	 ແປ້ງ, ຝຸ່ນ
power	(n) 	 ອໍານາດ, ກໍາລັງ
power drill 	 ສະຫວ່ານໄຟຟ້າ
power planer 	 ກົບໄມ້ທີ່ໃຊ້ໄຟຟ້າ
power saw 	 ຈັກເລື່ອຍ
power tiller	(iron buffalo) 	 ລົດໄຖນາເດີນຕາມ
power tiller	(iron buffalo) 	 ໄຖນາເດີນຕາມ
praying mantis 	 ແມງມ້າ
precipitation	(n) 	 ນໍ້າໃນຊັ້ນບັນຍາກາດເຊັ່ນ: ຝົນ, ສະໂນ ແລະ
precipitation	(n) 	 ລະບົບນໍ້າຝົນ
preference ranking	(n) 	 ການຈັດລຽງລໍາດັບສິ່ງທີ່ມັກ
pregnant	(adj) 	 ຕັ້ງທ້ອງ, ຖືພາ
pregnant	(adj) 	 ຖືພາ, ມີລູກ, ຕັ້ງຄັນ
prepare	(v) 	 ກະກຽມ, ຕຽມ
preserve	(v) 	 ເຮັດໃຫ້ເກັບໄວ້ໄດ້ດົນ (ອາຫານກະປ໋ອງ)
president 	 ປະທານ
president	(n) 	 ປະທານ, ປະທານາທິບໍດີ
prevent	(v) 	 ປ້ອງກັນ
price at the farm gate	(n) 	 ລາຄາໃນບ່ອນຜະລິດ
prickly pear 	 ໝາກໜອດ
priest	(n) 	 ພະ, ພະສົງ
private	(n, adj) 	 ສ່ວນຕົວ, ເອກະຊົນ
problem	(n) 	 ບັນຫາ
problem analysis	(n) 	 ການວິເຄາະບັນຫາ
product	(n) 	 ຜົນຜະລິດ
production forest	(n) 	 ປ່າຜະລິດ
productivity	(n) 	 ຜະລິດຕະພາບ
profit 	 ກໍາໄລ
profit	(to make) 	 (ສ້າງ) ກໍາໄລ
program	(n) 	 ໂຄງການ, ແຜນການ
progress	(n) 	 ຄວາມກ້າວໜ້າ, ຄວາມຄືບໜ້າ
prolong	(v) 	 ຢືດ, ຕໍ່
promise	(n) 	 ສັນຍາ
promote	(v) 	 ສົ່ງເສີມ, ສະໜັບສະໜຸນ
propagate	(v), breed (n) 	 ຂະຫຍາຍພັນ
propagation, plant propagation 	 ການຂະຫຍາຍພັນ
property rights system	(n) 	 ລະບົບກໍາມະສິດຊັບສິນ
protect	(v) 	 ຄຸ້ມຄອງ
protection	(n) 	 ການປ້ອງກັນ
protein	(n) 	 ໂປຣຕີນ
prototype	(n) 	 ເຄົ້າຕະກຸນ
provenance	(n) 	 ຖິ່ນກໍາເນີດ
provide	(v) 	 ຈັດຫາ, ຈັດຕຽມ, ໃຫ້
province	(n) 	 ແຂວງ
provincial C.D officer 	 ພັດທະນາກອນແຂວງ
provision	(n) 	 ການຈັດຕຽມໄວ້, ການຈັດຫາ
provisional title	(n) 	 ຕໍາແໜ່ງຊົ່ວຄາວ
pruning 	 ການແຕ່ງກິ່ງ
pruning	(n) 	 ການຕັດກີ່ງ, ຕັດງ່າຕົ້ນໄມ້
public	(n) 	 ສາທາລະນະ
puddle	(v) 	 ພວນດິນ, ບວກນໍ້າ
pull	(v) 	 ດຶງ
pull net 	 ດາງ
pull up	(v) 	 ດຶງຂື້ນ
pull up a seedling	(v) 	 ຫຼົກກ້າ
pulley	(n) 	 ໝາກລໍ້, ລໍ້ສໍາລັບແລ່ນສາຍພານ
pulp	(v) 	 ບົດ (ເຮັດໃຫ້ມຸ່ນລະອຽດ), ສີ່ງທີຖືກບົດ
pulper	(n) 	 ເຄື່ອງບົດ
pump	(v, n) 	 ສູບນໍ້າ, ຈັກສູບນໍ້າ
pumpkin 	 ໝາກອຶ
puncture	(v) 	 ເຈາະ, ແທງ
pupa	(chrysalis) 	 ດັກແດ້
pure breed 	 ພັນແທ້
pure breed	(n) 	 ພັນແທ້ (ສັດ), ພັນບໍລິສຸດ
purpose	(n) 	 ຈຸດປະສົງ
pus	(n) 	 ໜອງ, ເປັນໜອງ (ບາດແຜ)
put in	(v) 	 ໃສ່, ເອົາໃສ່
putrid	(adj) 	 ເໝັນເນົ່າ, ເໝັນບູດ
pylon	(n) 	 ເສົາໄຟຟ້າ
pythium	(fungus causing 	 ໂລກເນົ່າເປື່ອຍ ເຊື້ອເຫັດທໍາລາຍຕົ້ນໄມ້
quail	(n) 	 ນົກກະທາ
quality	(n) 	 ຄຸນນະພາບ
quarantine	(n) 	 ການກັກບໍລິເວນ (ເພາະມີໂລກຕິດຕໍ່)
quarry	(n) 	 ບໍ່ ຫຼື ບ່ອນທີ່ລະເບີດເອົາຫີນມາໃຊ້
quarter	(n) 	 ໜື່ງໃນສີ່, ສ້ຽວ, ໜື່ງສ່ວນສີ່, ໄຕມາດ
quartz	(n) 	 ຫີນຄວາດ
quay	(n) 	 ທ່າເຮືອ
queen	(n) 	 ລາຊີນີ
queen	(queen bee) 	 ເຜີ້ງແມ່
queen cell 	 ຊ່ອງເຜີ້ງແມ່
quiet	(adj) 	 ງຽບ
quite	(adj) 	 ອີ່ຫຼີ, ແທ້, ຂ້ອນຂ້າງ
quota	(n) 	 ສ່ວນທີ່ກໍານົດໃຫ້
rabbies 	 ໂລກຢ້ານນໍ້າ, ໂລກວໍ້
rabbit 	 ກະຕ່າຍ
radio	(n) 	 ວິທະຍຸ
rafter	(n) 	 ຄົນລ່ອງແພ
ragged stunt 	 ພະຍາດໃບບິດບ້ຽວ
rain	(n, v) 	 ຝົນ, ຝົນຕົກ
rainfall	(n) 	 ປະລິມານນໍ້າຝົນ
rainfed	(crops etc) 	 ຜົນລະປູກທີ່ອາໄສນໍ້າຝົນທໍາມະຊາດ
rainwater	(n) 	 ນໍ້າຝົນ
raise	(v) 	 ຂື້ນ, ຍົກ, ລ້ຽງ
rake 	 ຄາດ
rake	(v) 	 ຄາດ
rambi, sour berry 	 ໝາກໄຟ
rambutan 	 ໝາກເງາະ
ramie 	 ປ່ານຣາມິ
ranch	(n) 	 ຄອກສັດ, ທົ່ງລ້ຽງສັດ
range	(n) 	 ທິວທັດ
ranger	(n) 	 ພະນັກງານຮັກສາປ່າໄມ້
rasp 	 ເຫຼັກຕະໃບຖູໄມ້
rat	(n) 	 ໜູໃຫຍ່, ໜູພຸກ
ratchet 	 ເຟືອງແຂ້ວລໍ້ລົດ, ແຂ້ວເຟືອງໝູນທາງດຽວ
ration 	 ອັດຕາສ່ວນ
ratoon	(a new shoot after cropping) 	 ໜໍ່ໄມ້ທີ່ເກີດຈາກຮາກທີ່ຕົ້ນຖືກຕັດ,
rattan 	 ຫວາຍ
ravage	(pests ravaged the crop etc) 	 ລຸກລາມ, ທໍາລາຍພືດປູກ
ravine	(n) 	 ໜ້າຜາ, ພູຜາເລິກ
raw	(adj) 	 ດິບ
raw material	(n) 	 ວັດຖຸດິບ
ready	(adj, adv) 	 ສໍາເລັດ, ພ້ອມ
reap	(v) 	 ເກັບກ່ຽວ
reaping machine	(n) 	 ເຄື່ອງເກັບກ່ຽວ
rear udder 	 ເຕົ້ານົມຫຼັງ
receipt 	 ໃບຮັບ, ການຮັບ
record	(v) 	 ບັນທຶກ
recover	(v) 	 ຟື້ນຄືນສູ່ສະພາບເກົ່າ
red ant 	 ມົດແດງ
red mite 	 ໄຮແດງ
reduce	(v) 	 ຫຼຸດ, ຫຼຸດຜ່ອນ
reforestation	(n) 	 ການຟື້ນຟູປ່າ
reform	(v) 	 ປະຕິຮູບ
refund 	 ຊໍາລະຄືນ, ເງີນທີ່ໃຫ້ຄືນ
refuse	(garden rubbish etc) 	 ຂີ້ເຫຍື້ອ
refuse disposal	(n) 	 ກໍາຈັດ ຫຼື ທໍາລາຍຂີ້ເຫຍື້ອ
region	(n) 	 ເຂດ, ຍ່ານ, ພາກ
regional	(adj) 	 ພູມີພາກ
registered seed	(n) 	 ເມັດພັນລົງທະບຽບ
regulation	(n) 	 ກົດຂໍ້ບັງຄັບ
reho	(Indian) carp 	 ປາອິນເດຍ
reimburse	(v) 	 ຈ່າຍຄືນ, ເບີກຄືນ
relative	(adj) 	 ປຽບທຽບກັນ
relatively	(adj) 	 ໂດຍປຽບທຽບ
relay cropping	(n) 	 ການປູກພືດຊອນ
release	(v) 	 ອອກຈໍາໜ່າຍ, ອອກນໍາໃຊ້ (ແນວພັນ)
religion	(n) 	 ສາສະໜາ
remedy	(n) 	 ການຮັກສາໂລກ, ການຮັກສາພະຍາດ
remind	(v) 	 ເຕືອນ, ບອກ
remote areas	(n) 	 ເຂດຫ່າງໃກສອກຫຼີກ
repair	(v) 	 ສ້ອມແປງ
repay 	 ການຈ່າຍຊໍາລະ
repel	(v) 	 ຂັບໄລ່
replenish	(v) 	 ເຕີມ
replication	(n) 	 ຊໍ້າ (ສໍາລັບການທົດລອງ)
reporter 	 ຜູ້ບັນທຶກ, ຜູ້ລາຍງານ 
representative	(n) 	 ຜູ້ແທນ, ຕົວແທນ
reproduction	(n) 	 ການສືບພັນ, ການແຜ່ພັນ
research	(v, n) 	 ຄົ້ນຄວ້າ, ການຄົ້ນຄວ້າ
reservoir	(n) 	 ອ່າງເກັບນໍ້າ
resettle	(v) 	 ຕັ້ງຖີ່ນຖານໃໝ່
resin 	 ຢາງໄມ້, ຂີ້ຊີ
resin	(n) 	 ຢາງໄມ້
resist	(v) 	 ຕໍ່ຕ້ານ
resistant	(adj) 	 ຕ້ານທານ
resolving sprinkler 	 ເຄື່ອງໂຮຍແບບໝູນປີ່ນ
result	(n) 	 ຜົນໄດ້ຮັບ
retailer	(n) 	 ຜູ້ຂາຍຍ່ອຍ
revolving fund	(n) 	 ທຶນໝູນວຽນ
rhythm	(n) 	 ຈັງຫວະ
ribs 	 ຂ້າງ
ribs	(n) 	 ກະດູກຂ້າງ
rice 	 ເຂົ້າ
rice	(n) 	 ເຂົ້າ
rice bean 	 ຖົ່ວແດງ
rice bran 	 ຮໍາ
rice bran	(n) 	 ຮໍາ
rice bug 	 ແມງແຄງຍາວ
rice delphacid 	 ເພ້ຍຈັກຈັ່ນເຕັ້ນ
rice farmer	(n) 	 ຊາວນາ
rice field	(n) 	 ທົ່ງນາ
rice field bund 	 ຄັນນາ
rice field crab 	 ປູນາ
rice field crab	(n) 	 ກະປູນາ
rice huller	(n) 	 ເຄື່ອງສີເຂົ້າ, ເຄື່ອງປອກເປືອກໝາກໄມ້
rice husk 	 ແກບ
rice mill	(n) 	 ໂຮງສີເຂົ້າ
rice plant	(including seeds) 	 ຕົ້ນເຂົ້າ
rice skipper 	 ແມງກະບີ້ບິນໄວ
rice straw 	 ເຟືອງ
rich	(adj) 	 ລໍ້າລວຍ, ອຸດົມສົມບູນ, ຮັ່ງມີ
riddle	(garden sieve) 	 ຕະແກງຮ່ອນດິນ
ridge	(n) 	 ສັນພູ, ຍອດພູ
rigid	(adj) 	 ແຂງກະດ້າງ
rind	(n) 	 (ເປືອກ, ໝາກໄມ້)
ring spanner 	 ເຫຼັກໃຊ້ຫັນນອດ 
ripe	(adj) 	 ສຸກ (ໃຊ້ກັບໝາກໄມ້)
ripen	(v) 	 ເຮັດໃຫ້ສຸກ
risk	(n) 	 ການສ່ຽງໄພ, ການສ່ຽງຕໍ່ອັນຕະລາຍ
river	(n) 	 ແມ່ນໍ້າ
roast	(v) 	 ປີ້ງ, ຢ້າງ
rock	(n) 	 ກ້ອນຫີນ, ໂງ່ນຫີນ
rocket festival 	 ບຸນບັ້ງໄຟ
rod	(v) 	 ປຸ້ນ, ຈີ້
rodenticide 	 ຢາເບື່ອໜູ, ສານຂ້າໜູ
role	(n) 	 ພາລະບົດບາດ
roof	(n) 	 ຫຼັງຄາ
roof of mouth	(n) 	 ເພດານປາກ
root	(n) 	 ຮາກ (ພືດ)
root plants	(n) 	 ພືດເປັນຫົວ
root rot 	 ໂລກຮາກເນົ່າ
root-knot nematode 	 ຂີ້ກະເດືອນຝອຍຮາກປົມ
rooting a cutting 	 ເຮືອນເພາະຊໍາ
roots	(n) 	 ຮາກ
rope	(n) 	 ເຊືອກ
rose apple 	 ໝາກຈຽງ, ໝາກກຽງ
rose apple	(n) 	 ໝາກຈຽງ, ໝາກຊົມພູ້
roselle 	 ສົ້ນພໍດີ
rot	(v) 	 ເນົ່າ, ເປື່ອຍ
rot	(v, n) 	 ເນົ່າ
rotten fish	(fermented fish) 	 ປາແດກ
rough	(adj) 	 ຫຍາບ, ບໍ່ລຽບ
roughage 	 ອາຫານຫຍາບ
roughage	(n) 	 ອາຫານຫຍາບ (ສັດ)
route	(n) 	 ທາງ, ສາຍ
row	(n) 	 ແຖວ
rubber	(n) 	 ຢາງ
rubber boot	(n) 	 ເກີບໂບກ
rule	(n) 	 ລະບຽບ, ຫຼັກການ
ruminant 	 ສັດປະເພດຄ້ຽວເອື້ອງ
ruminant	(n) 	 ສັດຄ້ຽງເອື້ອງ
rump 	 ກະໂພກ, ບັ້ນທ້າຍ
rural construction worker 	 ຊ່າງກໍ່ສ້າງ, ຊົນນະບົດ
rural sociology	(n) 	 ສັງຄົມວິທະຍາຂອງຊົນນະບົດ
rust	(n) 	 ຂີ້ໝ້ຽງ
ruzi grass 	 ຫຍ້າ ຣູຊີ
sack 	 ກະສອບ, ຖົງ
saddle	(n) 	 ອານມ້າ, ອານທີ່ນັ່ງ
safe	(i.e. place to keep money) 	 ຕູ້ນິລະໄພ, ຕູ້ເກັບຮັກສາເງີນ
safe	(to be) (adj) 	 ປອດໄພ
safeguard	(v) 	 ປົກປ້ອງ
safety	(n) 	 ຄວາມປອດໄພ
sago palm 	 ຕົ້ນສາຄູ
salad	(n) 	 ຍໍາ
saline soil 	 ດິນເຄັມ
saline soil	(n) 	 ດິນເກືອ
saliva	(spittle) (n) 	 ນໍ້າລາຍ
salt	(n) 	 ເກືອ
salt water 	 ນໍ້າເຄັມ
salt water fish 	 ປາທະເລ
salted egg	(n) 	 ໄຂ່ເຄັມ
salted fish 	 ປາເຄັມ
salted fish	(n) 	 ປາເຄັມ
salted meat	(n) 	 ຊີ້ນເຄັມ
sanaanea saman	(rain tree) 	 ຕົ້ນສາມສາ
sand	(n) 	 ຊາຍ (ດິນຊາຍ)
sandpaper 	 ກະດາດຊາຍ
sandy soil 	 ດິນຊາຍ
sanitary	(adj) 	 ສຸຂາພິບານ, ສະອາດ
sanitation	(n) 	 ການສຸຂາພິບານ
santol	(maliaceae) 	 ໝາກຕ້ອງ
sap 	 ນໍ້າລໍາລຽງໃນຮາກຂອງຕົ້ນໄມ້
sap	(n) 	 ນໍ້າຫຼໍ່ລ້ຽງໃນພືດ
sapling 	 ຕົ້ນໄມ້ອ່ອນ, ຕົ້ນໄມ້ທີ່ກໍາລັງເຕີບໂຕ
sapodilla, naseberry 	 ໝາກລະມຸດ
saturated	(adj) 	 ຊຸ່ມ
sauce	(n) 	 ນໍ້າແຈ່ວ, ນໍ້າຈີ້ມ
save	(v) 	 ເກັບຮັກສາ
savings 	 ເງີນຝາກ
savings account 	 ບັນຊີເງີນຝາກປະຍຢັດ
savings group	(n) 	 ກຸ່ມທ້ອນເງິນ, ກຸ່ມກອງທຶນ
saw	(n, v) 	 ເລື່ອຍ
saw	(n, v) 	 ເລື່ອຍ, ເລື່ອຍໄມ້ 
saw chain 	 ແຂ້ວເລື່ອຍ
saw guide 	 ໃບເລື່ອຍ 
sawmill	(n) 	 ໂຮງເລື່ອຍ
scale 	 ຊິງ 
scale 	 ເກັດ, ເກັດປາ
scale 	 ເພ້ຍຫອຍ
scarcity	(n) 	 ຄວາມຂາດແຄນ
scarecrow 	 ຫຸ່ນ, ຫຸ່ນໄລ່ກາ
scarecrow	(n) 	 ຫຸ່ນໄລ່ກາ
scattered settlement	(n) 	 ການຕັ້ງບ້ານກະແຈກກະຈາຍ
scion 	 ກິ່ງພັນດີ
scion	(n) 	 ກິ່ງຕອນ, ໜໍ່
scissors	(n) 	 ມີດຕັດ
scoop	(v) 	 ຕັກ
scorpion 	 ແມງງອດ, ແມງເງົາ
scours 	 ໂລກທ້ອງຖອກ	(ງົວ, ຄວາຍ)
scratch	(v) 	 ເກົາ, ຂີດ
screw 	 ຕະປູກຽວ
screw	(n, v) 	 ກຽວ, ຕະປູກຽວ
screwdriver 	 ເຫຼັກໄຂກວາງ
scythe 	 ເຄື່ອງຕັດຫຍ້າ
sea	(n) 	 ທະເລ
sea shell	(n) 	 ຫອຍແຄງ
season	(n) 	 ລະດູການ
secateurs 	 ມີດຕັດໃຊ້ຕັດຕອນກິ່ງໄມ້ 
secret	(n) 	 ຄວາມລັບ
secretary	(n) 	 ເລຂານຸການ
seed 	 ເມັດພືດ, ໃນພືດ, ແກ່ນ
seed	(n) 	 ເມັດ, ແກ່ນ
seed	(n) 	 ເມັດ, ແກ່ນ, ໃນ
seed bed 	 ໜານກ້າເມັດ, ໜານເພາະເມັດ
seed bed	(n) 	 ໜານກ້າ, ໜານເພາະປູກ
seed harvesting	(n) 	 ການເກັບແກ່ນພືດ
seedling 	 ຕົ້ນກ້າ, ກ້າ
seedling 	 ເບ້ຍໄມ້
seedling	(n) 	 ກ້າ, ເບ້ຍອ່ອນ
seedling nursery 	 ສວນກ້າເບ້ຍ
seeds 	 ແນວພັນ
seep	(v) 	 ຊຶມ, ຮົ່ວ
seine 	 ອວນ	(ດາງສໍາລັບຫາປາ)
seine a pond 	 ແກ່ອວນ, ລາກອວນ
selection	(n) 	 ການຄັດເລືອກພັນ
semen	(n) 	 ນໍ້າກາມ, ນໍ້າອະສຸຈິ
semi-permanent cultivation	(n) 	 ການກະສິກໍາແບບເຄີ່ງຖາວອນ
senat siam 	 ປາສະຫຼິດ
send	(v) 	 ສົ່ງ
sensitive	(adj) 	 ມີຄວາມຮູ້ສຶກໄວ, ອ່ອນໄຫວງ່າຍ
sepal	(n) 	 ກີບລ້ຽງ, ເປືອກຫຸ້ມຂອງດອກໄມ້ກ່ອນບານ
separate	(v) 	 ແຍກ
sesame 	 ໝາກງາ, ງາ
sesban 	 ດອກແຄຂາວ
sesbania grandiflora 	 ກົກແຄ
set fruit	(v.) 	 ອອກໝາກ, ເປັນໝາກ
set up	(n) 	 ຕິດຕັ້ງ
settled farmers	(n) 	 ຊາວກະສິກອນມີຖິ່ນຖາວອນ
sewage	(n) 	 ນໍ້າໂສໂຄກ, ນໍ້າເປື້ອນ
sewer	(n) 	 ທໍ່ລະບາຍນໍ້າໂສໂຄກ, ນໍ້າເປື້ອນ
sex	(n) 	 ເພດ
shade	(v) 	 ຮົ່ມ
shade	(v) 	 ເງົາ, ຮົ່ມ
shady tree	(n) 	 ໄມ້ຮົ່ມ
shaft	(n) 	 ກ້ານ (ໃບໄມ້)
shallot 	 ຫອມແດງ
shallow	(adj) 	 ຕື້ນ (ບໍ່ເລິກ)
shank 	 ໜ້າແຄ່ງ 
share	(v) 	 ເລຂາ
share	(v, n) 	 ແບ່ງ, ປັນ, ສ່ວນແບ່ງ, ຫຸ້ນສ່ວນ
sharp	(adj) 	 ຄົມ
shears 	 ມີດຕັດ
